N,F_gaain,FTM_gaain
1,0.6200039652, 0.5829106185982248
2,0.7017054264, 0.662213077862539
3,0.7092159608, 0.6838083621804553
4,0.7282951664, 0.7001390012980929
5,0.7356093501, 0.6980491783461031
6,0.7462881152, 0.7094515306205602
7,0.7441684674, 0.7229561980626349
8,0.7540977622, 0.7348526444188531
9,0.7591232801, 0.7447995735451134
10,0.7690472497, 0.7474495585468229
11,0.7715570536, 0.7550856129685917
12,0.7738949118, 0.7561977854971775
13,0.7738949118, 0.7592885154061625
14,0.7738949118, 0.7539989226459815
15,0.7763438914, 0.758887801274356
16,0.7763438914, 0.7732991634970389
17,0.7763438914, 0.7757124364985472
18,0.7810950226, 0.7781614160903838
19,0.779586727, 0.7791414098295341
