N,F_indd, F-TM_indd
1, 0.5064792232259372, 0.4294884770515647
2, 0.6413320195034957, 0.5901757766084995
3, 0.7158512894139679, 0.6860600692315453
4, 0.7663844493550542, 0.7500062734520737
5, 0.8085492288818612, 0.8073460474466394
6, 0.8303667104572929, 0.8290642679330251
7, 0.8403706658938228, 0.8428676596705851
8, 0.8500079678139892, 0.8505892562126146
9, 0.8575974216746296, 0.8543027684536693
10, 0.8632693177907351, 0.8601734924414949
11, 0.868585755967462, 0.8601734924414949
12, 0.8703218670785731, 0.8618561847491872
13, 0.8720579781896841, 0.8656844584333347
14, 0.8720579781896841, 0.8656844584333347
15, 0.8720579781896841, 0.8694478992935497
16, 0.8720579781896841, 0.8713604675995608
17, 0.8737406704973765, 0.8713604675995608
18, 0.8737406704973765, 0.8713604675995608
19, 0.8737406704973765, 0.8730854093245025
