Top N,Topic Modelling + Metadata,Topic Modelling Only
,, 
1,0.723966177,0.648563789
2,0.793602938,0.724777039
3,0.823568146,0.764565063
4,0.828345313,0.777922436
5,0.83378044,0.789580375
6,0.839753449,0.798229318
7,0.841337906,0.803647212
8,0.844770141,0.804644919
9,0.844524494,0.807265815
10,0.850832292,0.808569954
11,0.852211699,0.807464691
12,0.85150975,0.808244465
13,0.850514108,0.807751371
14,0.850366082,0.806171283
15,0.849458218,0.804169166
16,0.849801861,0.801679785
17,0.849691622,0.801399205
18,0.849359789,0.80367375
19,0.850095935,0.801679955
