N, TP, TN, FP, FN, Precision, Recall, F-Measure
1,43,42,5,30,0.8958333333,0.5890410959,0.7107438017
2,47,38,9,26,0.8392857143,0.6438356164,0.7286821705
3,48,36,11,25,0.813559322,0.6575342466,0.7272727273
4,50,36,11,23,0.8196721311,0.6849315068,0.7462686567
5,52,36,11,21,0.8253968254,0.7123287671,0.7647058824
6,53,35,12,20,0.8153846154,0.7260273973,0.768115942
7,55,34,13,18,0.8088235294,0.7534246575,0.780141844
8,55,32,15,18,0.7857142857,0.7534246575,0.7692307692
9,57,32,15,16,0.7916666667,0.7808219178,0.7862068966
10,57,31,16,16,0.7808219178,0.7808219178,0.7808219178
11,57,29,18,16,0.76,0.7808219178,0.7702702703
12,58,29,18,15,0.7631578947,0.7945205479,0.7785234899
13,58,29,18,15,0.7631578947,0.7945205479,0.7785234899
14,58,28,19,15,0.7532467532,0.7945205479,0.7733333333
15,58,27,20,15,0.7435897436,0.7945205479,0.7682119205
16,59,27,20,14,0.746835443,0.8082191781,0.7763157895
17,59,26,21,14,0.7375,0.8082191781,0.7712418301
18,59,25,22,14,0.7283950617,0.8082191781,0.7662337662
19,59,24,23,14,0.7195121951,0.8082191781,0.7612903226
