N,tfidf_F_gaain, tfidf+MD_F_gaain
1,0.6341463415, 0.6666666666666666
2,0.7111111111, 0.7272727272727273
3,0.7391304348, 0.7391304347826086
4,0.7234042553, 0.7659574468085107
5,0.7234042553, 0.7659574468085107
6,0.7234042553, 0.7659574468085107
7,0.7234042553, 0.7659574468085107
8,0.7234042553, 0.7659574468085107
9,0.7234042553, 0.7659574468085107
10,0.7234042553, 0.7659574468085107
11,0.7234042553, 0.7659574468085107
12,0.7234042553, 0.7659574468085107
13,0.7234042553, 0.7659574468085107
14,0.7234042553, 0.7659574468085107
15,0.7234042553, 0.7659574468085107
16,0.7234042553, 0.7659574468085107
17,0.7083333333, 0.7659574468085107
18,0.7083333333, 0.7659574468085107
19,0.7083333333, 0.7659574468085107
