N, TP, TN, FP, FN, Precision, Recall, F-Measure
0,0,47,0,73,NaN,0.0,NaN
1,43,42,5,30,0.8958333333333334,0.589041095890411,0.7107438016528926
2,47,38,9,26,0.8392857142857143,0.6438356164383562,0.7286821705426356
3,48,36,11,25,0.8135593220338984,0.6575342465753424,0.7272727272727273
4,50,36,11,23,0.819672131147541,0.684931506849315,0.7462686567164178
5,52,36,11,21,0.8253968253968254,0.7123287671232876,0.764705882352941
6,53,35,12,20,0.8153846153846154,0.726027397260274,0.7681159420289856
7,55,34,13,18,0.8088235294117647,0.7534246575342466,0.7801418439716312
8,55,32,15,18,0.7857142857142857,0.7534246575342466,0.7692307692307694
9,57,32,15,16,0.7916666666666666,0.7808219178082192,0.786206896551724
10,57,31,16,16,0.7808219178082192,0.7808219178082192,0.7808219178082192
11,57,29,18,16,0.76,0.7808219178082192,0.7702702702702703
12,58,29,18,15,0.7631578947368421,0.7945205479452054,0.778523489932886
13,58,29,18,15,0.7631578947368421,0.7945205479452054,0.778523489932886
14,58,28,19,15,0.7532467532467533,0.7945205479452054,0.7733333333333333
15,58,27,20,15,0.7435897435897436,0.7945205479452054,0.7682119205298014
16,59,27,20,14,0.7468354430379747,0.8082191780821918,0.7763157894736842
17,59,26,21,14,0.7375,0.8082191780821918,0.7712418300653594
18,59,25,22,14,0.7283950617283951,0.8082191780821918,0.7662337662337662
19,59,24,23,14,0.7195121951219512,0.8082191780821918,0.7612903225806451
